subject_id,subject_name,teacher,เสรีม.ต้น1,เสรีม.ต้น2,เสรีม.ปลาย1,เสรีม.ปลาย2,เสรีม.ปลาย3,เสรีม.ปลาย4,เสรีม.ปลาย5,เสรีม.ปลาย6,room
ค20213,คณิตศาสตร์ในชีวิตประจำวัน,T009,,1,,,,,,,C103
ค20202,คณิตศิลป์,T004,1,,,,,,,,C106
ว20220,โครงสร้างข้อมูลและอัลกอริทึม,T011,1,,,,,,,,D204
ว20219,การออกแบบฐานข้อมูล,T011,1,,,,,,,,D204
ว20221,การออกแบบเนื้อหาดิจิทัล,T012,,1,,,,,,,D203
ว20208,พื้นฐานชีวเคมีทางการแพทย์,T018,,1,,,,,,,D201
ว20205,เคมีกับความงาม,T015,1,,,,,,,,C104
ว20203,วิทยาศาสตร์และคณิตศาสตร์กับภูมิปัญญาท้องถิ่น,T015,1,,,,,,,,C104
ว20216,กลศาสตร์นิวตัน (รับเฉพาะ2 และ 3),T024,,1,,,,,,,C107
ว20211,ศิลปะแห่งภาพวาดทางวิทยาศาสตร์,T021,1,,,,,,,,C106
ว20206,โรคจากปรสิตและการป้องกัน,T019,1,,,,,,,,D202
ว20214,ธรณีกาลและบรรพชีวิน,T023,1,,,,,,,,C212
ท20203,ภาษาไทยในทำนอง,T033,1,,,,,,,,C217
ฝ20202,ภาษาฝรั่งเศส 2,E011,,1,,,,,,,C213
อ20204,ร้อยกรองภาษาอังกฤษ,T030,1,,,,,,,,C212
ญ20201,ภาษาญี่ปุ่น 1,E008,,1,,,,,,,C218
จ20202,ภาษาจีน 2,E010,,1,,,,,,,D205
พ20201,การดูแลสุขภาพองค์รวม,T048,1,,,,,,,,D206
พ20203,หัวข้อกีฬาเลือกสรรที่น่าสนใจ,T047,,1,,,,,,,D316
พ20207,กีฬาบาสเกตบอล,E006,1,,,,,,,,OUT
พ20210,วอลเลย์บอล,E009,1,,,,,,,, OUT
ส20206,อเมริกันศึกษา,T042,1,,,,,,,,C217
ศ20205,ดนตรีและการขับร้อง,T041,,1,,,,,,,D323
ส20212,พลเมืองโลกแห่งอนาคต,T038,1,,,,,,,,D202
ส20212,พลเมืองโลกแห่งอนาคต,T037,1,,,,,,,,D206
ค30201,ตัวแบบเชิงคณิตศาสตร์เบื้องต้น,T007,,,,,,1,,,B217
ค30205,การวิเคราะห์เชิงตัวเลขเบื้องต้น,T005,,,,1,,,,,B217
ค30209,ทฤษฎีเกมเบื้องต้น,T002,,,,,,,,1,B217
ว30289,อินเทอร์เน็ตของสรรพสิ่ง,T014,,,1,,,,,,D204
ว30285,หุ่นยนต์และการควบคุม,T013,,,,,1,,,1,D204
ว30286,การเขียนโปรแกรมสำหรับอุปกรณ์พกพา,T011,,,,,,,1,,D204
ว30224,เคมีวิเคราะห์,T017,,,1,,,,,,D201
ว30211,ฟิสิกส์ในภาพยนตร์วิทยาศาสตร์,T024,,,,,1,,,,D201
ว30249,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,T021,,,,1,,,,,D201
ว30201,หัวข้อพิเศษทางฟิสิกส์,T023,,,,,,,1,,D201
ท30203,ภาษาไทยในทำนอง,T033,,,,,,,,1,D201
อ30202,วัฒนธรรมภาษาอังกฤษในสื่อต่างประเทศ,E012,,,,,,,,1,D206
จ30201,ภาษาจีนเพื่อการสื่อสาร,E010,,,,,,,1,,B217
ฝ30201,ภาษาฝรั่งเศสเพื่อการสื่อสาร,E011,,,,,1,,,,B217
พ30201,หัวข้อเลือกสรรทางการกีฬาที่สนใจ,T047,,,,,,,1,,D316
พ30204,โภชนาการและสุขภาพ,T048,,,,,,1,,,D202
พ30201,หัวข้อเลือกสรรทางการกีฬาที่สนใจ,E006,,,,,,1,,,D316
ส30222,ความสัมพันธ์ระหว่างประเทศเบื้องต้น,T042,,,1,,,,,,D205
ส30201,ปรัชญาพื้นฐาน,T042,,,,1,,,,,D206
ส30243,ผู้ประกอบการเพื่อสังคม,T044,,,,,1,,,,D206
ศ30202,ดนตรีไทย,T040,,,,,,1,,,D322
ส30202,คุณธรรมพื้นฐานในทักษะการดํารงชีวิต,T037,,,,,,,1,,D205
ส30221,จิตวิทยาพื้นฐาน,T038,,,,1,,,,,D202
ศ30205,ดนตรีและคีตศิลป์สากล,T041,,,1,,,,,1,D323